31	36	9	20	111	511	494	96	19	24	4	
19	7	5	29	21	26	43	26	22	22	23	
35	37	29	31	15	15	45	31	10	4	5	
65	40	13	22	31	28	26	27	37	13	16	
19	16	23	23	17	27	34	27	30	4	12	

8	2	11	15	43	58	6	6	25	16	6	
18	8	22	36	27	23	12	3	9	17	5	
19	10	24	23	20	2	0	24	15	17	17	
12	15	8	21	32	81	39	29	11	39	21	
17	7	26	16	212	271	63	23	2	55	34	
36	30	28	52	554	771	236	62	23	52	50	
43	37	27	80	417	556	186	34	23	20	37	
31	38	13	50	70	43	25	14	7	7	17	
21	30	16	22	9	34	11	21	23	20	0	
7	10	9	9	8	8	7	13	20	10	12	
9	4	18	17	46	61	34	18	19	17	21	

25	11	17	11	37	38	14	22	20	13	6	
14	29	33	5	24	39	28	38	30	22	9	
19	67	73	39	33	27	31	25	27	24	13	
21	43	44	9	12	13	38	26	8	23	21	
35	8	34	93	439	528	123	19	34	44	27	
57	41	80	186	683	880	178	76	38	47	24	
24	22	69	182	227	404	87	58	7	25	41	
11	9	14	81	134	72	8	17	18	12	35	
22	10	23	47	43	19	6	15	14	5	13	
28	15	16	32	24	41	11	23	12	9	7	
30	14	30	72	62	28	22	7	24	18	16	

2	20	2	43	10	94	67	10	26	26	7	
32	34	17	29	13	12	3	6	26	52	42	
60	46	45	34	29	27	36	29	39	70	26	
52	59	76	76	54	48	61	46	36	45	5	
35	29	49	63	83	476	432	66	40	62	12	
47	10	78	40	219	1036	895	107	50	59	61	
30	45	45	48	133	675	561	73	82	12	59	
29	75	65	62	6	71	23	67	65	17	27	
40	61	63	66	32	25	18	35	21	40	21	
39	44	34	26	35	24	6	20	40	36	13	
3	41	42	27	44	92	68	32	24	16	41	

35	27	23	21	15	23	43	35	17	9	11	
7	2	29	37	18	13	10	2	13	22	14	
26	40	51	37	31	22	25	7	26	8	3	
48	70	64	37	24	27	24	26	36	11	12	
30	24	38	21	94	275	241	74	24	6	15	
11	38	16	12	134	530	504	109	18	25	16	
29	35	20	9	71	336	309	53	3	31	10	
22	21	19	8	24	25	38	62	37	15	8	
92	43	26	8	32	36	60	90	63	25	11	
265	11	37	25	7	35	20	28	38	31	24	
177	50	54	24	42	29	31	13	15	11	25	

35	26	22	27	15	24	34	10	20	48	68	
57	75	43	56	44	42	5	11	25	17	49	
57	46	43	61	52	97	50	34	14	52	91	
78	38	19	37	8	15	34	48	5	79	116	
39	77	9	20	86	284	160	56	27	95	92	
13	91	22	31	246	721	479	39	39	92	7	
30	78	29	41	146	526	408	25	18	23	69	
6	47	29	49	59	30	96	25	12	50	81	
11	35	17	43	73	34	23	26	13	83	98	
14	33	14	16	20	46	51	15	12	100	156	
20	26	35	16	17	11	15	10	5	57	104	

3	54	23	64	58	42	20	15	14	21	20	
4	20	68	56	44	48	48	26	26	23	25	
13	69	93	57	56	4	19	13	30	41	35	
36	36	73	69	16	75	69	38	37	55	56	
28	40	37	129	124	335	402	67	77	20	58	
50	50	40	84	122	380	509	105	73	34	37	
19	20	51	22	47	119	177	100	46	62	40	
11	31	10	11	34	50	96	79	24	87	60	
4	8	6	13	42	42	10	27	87	132	86	
9	17	27	19	19	24	18	73	102	109	68	
16	29	17	6	22	39	81	93	82	67	38	

28	28	16	22	45	22	23	30	20	24	12	
14	5	15	18	29	51	40	15	9	9	24	
36	7	44	44	77	72	41	28	12	34	52	
35	11	56	64	64	50	35	34	42	55	43	
51	24	31	31	136	201	103	59	59	42	18	
67	27	23	33	293	427	171	31	59	36	18	
63	60	26	46	170	239	73	35	41	29	37	
53	85	34	50	56	28	37	26	22	16	38	
22	50	30	14	27	14	30	13	16	11	18	
25	34	25	19	14	59	62	70	43	36	33	
12	18	25	38	23	4	88	134	46	48	35	

41	29	2	15	15	35	34	26	37	28	11	
53	27	9	27	49	34	6	0	12	13	27	
29	26	12	36	13	29	39	5	9	24	27	
18	15	0	6	68	107	37	11	20	44	59	
43	37	27	32	352	570	241	32	50	24	55	
32	42	47	31	397	621	273	39	76	61	26	
8	7	30	25	114	169	99	30	55	51	20	
6	17	8	20	38	27	22	48	69	60	8	
38	42	7	10	35	41	40	37	118	141	49	
46	26	20	5	59	22	27	37	75	120	34	
25	10	15	12	48	27	18	9	59	108	30	

29	25	23	5	28	44	57	41	70	82	19	
15	26	44	58	30	34	3	25	62	63	26	
10	18	35	58	53	13	19	27	26	44	55	
33	24	18	25	31	42	42	21	29	45	56	
11	30	21	37	91	406	346	33	17	19	73	
10	48	58	31	177	941	870	113	21	43	98	
27	40	19	62	83	685	671	117	42	18	59	
18	39	72	74	50	98	157	80	5	21	16	
22	27	53	9	35	30	40	31	19	5	40	
33	44	36	46	47	28	22	11	18	17	23	
45	29	54	47	34	61	48	6	33	17	5	

23	32	34	71	70	74	60	41	51	40	36	
7	14	18	53	30	12	39	60	41	5	47	
22	25	34	48	34	45	31	49	91	63	67	
10	23	42	38	34	54	52	54	59	38	32	
10	25	39	6	38	94	128	68	19	10	6	
15	40	29	19	130	326	281	45	20	16	22	
36	12	4	31	115	258	217	63	10	26	15	
65	14	28	23	21	10	53	65	59	74	61	
60	13	16	18	14	49	22	48	92	110	65	
17	16	21	24	6	36	29	52	73	88	36	
20	41	32	30	10	11	85	93	21	28	26	

6	22	41	54	16	72	40	33	31	47	60	
12	40	30	31	39	57	59	29	41	49	46	
15	18	26	11	27	48	62	47	37	49	45	
22	43	39	39	17	39	9	24	15	6	12	
21	29	41	18	115	584	530	36	50	36	50	
28	63	41	70	227	1180	1048	100	47	59	45	
20	17	56	62	112	678	606	80	24	57	31	
40	60	42	2	29	34	46	35	18	28	50	
24	10	19	35	98	62	65	56	17	28	63	
30	59	64	36	93	127	59	46	57	54	53	
39	25	25	25	35	52	76	25	68	49	38	

